,2022-05-10
JNJ,1.4202422006576312
BF.B,1.4197907585004372
BKR,1.415709692237021
COF,1.4106060606060606
BMY,1.4073049252905356
EMR,1.3976930792377087
AAP,1.3945017182130544
BRO,1.3907684871918822
FB,1.3891622153500094
BAX,1.3857334098297975
RF,1.384773662551438
MRK,1.383488262171104
TFX,1.3821297682341418
ROST,1.3749616446762842
NWSA,1.3737294761532455
TXT,1.3689258312020391
DGX,1.3681257014590311
MKTX,1.3653219342773177
JPM,1.358432358318102
BDX,1.3571738658563088
VMC,1.3533847184986567
PXD,1.3507655811947379
PNC,1.3504672897196253
ULTA,1.3504591710101768
L,1.3421052631578918
CBOE,1.3417627370769776
GLW,1.3412816691505196
FE,1.3366179275270211
LHX,1.3341566095986526
GS,1.3323724668064347
NWS,1.3298113207547222
TT,1.325808055693681
DUK,1.324133738601825
ROK,1.320713411885908
CMI,1.3185279187817267
IPG,1.307913079130795
EXC,1.3054159687325542
MGM,1.3045045045045012
UDR,1.2909847434119308
ZION,1.290160402202535
ILMN,1.2865007320644242
SNA,1.2797512259299144
CTSH,1.2779399141630923
EMN,1.2773886943471735
ECL,1.273911661900218
DTE,1.2631320086563067
CVS,1.2576553491351699
PCAR,1.2529922202274095
EA,1.2523846930759732
FANG,1.2475019215987713
JCI,1.243623998056841
ESS,1.2408714861177286
NI,1.2381756756756794
MDT,1.2379365667036883
MET,1.236832061068701
EOG,1.2330858085808625
SBUX,1.2296372347706983
RJF,1.2292158405454998
GIS,1.2252775405636205
EVRG,1.224884792626725
GD,1.2213699797592463
INTC,1.2170907079646005
FFIV,1.2099702169904962
NFLX,1.209229512659951
NTRS,1.2033170958014323
CTXS,1.2019415148609722
RE,1.1945680068434583
FIS,1.192598187311179
DLR,1.192202655617292
ED,1.190415007066681
PPG,1.189950513894172
EQR,1.1713871902156479
LYB,1.1700642588078896
AOS,1.1684502576298088
RL,1.1681209290893502
F,1.166958041958038
CLX,1.161215995243054
WY,1.1486205873627975
WMB,1.14544235924933
FBHS,1.144176839326952
PSX,1.1440797036658539
CMA,1.1347165400350625
GM,1.1325724319578587
OKE,1.1296329777617065
AMCR,1.1234347048300528
JNPR,1.12157287157287
CFG,1.1211947156806434
CNC,1.1156690386493653
WAB,1.1107124551512026
CNP,1.106352087114341
GL,1.106124304056357
WHR,1.1046743205248366
PFG,1.09573624980187
AVB,1.0902304800305138
SJM,1.0871223680195288
APTV,1.0803199279035678
AAPL,1.075226165622825
BKNG,1.0734746799229415
MTB,1.0734028092433194
CMCSA,1.0729499467518626
SYF,1.0710900473933689
KEY,1.0671178793006129
FDX,1.0650081900081925
O,1.063473455032656
HST,1.0615133369624377
KMB,1.056573644589761
D,1.0542835091330036
SWKS,1.0515759312320916
EXPE,1.0491517361661626
CL,1.0449775112443787
DOW,1.0436092610212468
HII,1.0386940150614348
XOM,1.0359449250639692
KIM,1.0289723856948854
NLOK,1.0132286068623375
FAST,1.0111046171829288
FOXA,1.0083981337480579
K,1.007738012988812
EW,1.0040232927474866
UHS,1.0029583433277398
WRK,1.0019519812609812
MKC,0.9981660723382574
REG,0.9936794582392772
LUMN,0.9935004642525537
APH,0.982216531512304
HBAN,0.9812734082397009
PRU,0.979425028184897
VZ,0.9786498576657141
FTV,0.9713953101613184
USB,0.9575169738118346
IFF,0.9537198875294479
IP,0.953377166766291
WRB,0.9522101033295107
DIS,0.9512367491166097
AIG,0.9498300695905487
FOX,0.9471016788089978
ZBH,0.9408323032550465
OGN,0.9394594594594624
MCHP,0.9322496926649371
OXY,0.9320677753373058
HPE,0.9231644849174718
GILD,0.9207153502235508
SWK,0.9175981873111818
ROL,0.9140950792326953
BK,0.9115213239974557
BWA,0.899851264253845
HAS,0.8898483783512371
CAG,0.8850061957868665
OMC,0.8824970828471427
PM,0.8757417412098133
CPB,0.8715064158903124
PNW,0.8695964555143096
TFC,0.867324561403509
SHW,0.8631282200836045
STT,0.8590459274295827
KMI,0.8578045391384909
PEAK,0.8523684975297864
VFC,0.8501098096632513
LNC,0.8445500536562957
EIX,0.844152595372106
